uuid,type,city,street,date,severity
d30f90db-37d2-45e5-bdd0-f6478aa267eb,jam,las condes,av. americo vespucio norte,2025-04-27 21:35:09,
91ba6b82-a02c-4d0b-89a9-f4c4c09cad13,chit_chat,las condes,av. apoquindo,2025-04-27 21:25:09,
7009cbb0-e23b-43e9-8d3e-f54c852c0790,hazard,lo prado,av. dorsal,2025-04-27 21:27:42,
916d923d-2cd4-4175-a14c-e332f943f1ad,jam,quilicura,av. general san martin,2025-04-27 21:27:05,
02203a4a-618b-4a96-b418-16c7dc40bcd8,hazard,santiago,av. libertador bernardo o'higgins,2025-04-22 13:00:00,
c662cbd0-719e-45d2-9687-294671831b60,hazard,santiago,av. libertador bernardo o'higgins,2025-04-22 13:00:00,
2c7b1db0-3bcc-4592-ba18-214fbe7c9ab1,hazard,santiago,av. libertador bernardo o'higgins,2025-04-22 13:00:00,
8f90b9a0-01fe-4e92-98c7-62a297cf5f44,road_closed,maipu,longitudinal,2025-04-03 14:35:02,
7540fc4c-9e36-4c59-a870-b5616d07ef8b,jam,providencia,av. los leones,2025-04-27 21:44:53,
36040311-7e19-4bab-95d0-ddfd29e5810a,road_closed,"malloco, peñaflor",los aromos,2025-04-15 17:44:42,
e6b1885a-cb5d-4208-b6e8-d0af4ff6eae7,hazard,peñalolen,los cerezos,2025-04-27 21:32:07,
2f8c58d1-dd0d-44e4-902f-8c3dd26002ba,police,estacion central,san francisco de borja,2025-04-27 20:05:12,
5ddb3193-efa6-4f67-82bf-450be69ed992,hazard,santiago,av. libertador bernardo o'higgins,2025-04-22 13:00:00,
8c111691-b22c-425b-bf0d-076288402732,road_closed,conchali,negrete,2024-12-17 14:59:07,
7aa70c5c-e484-4356-8ea6-281d8644589f,hazard,santiago,av. libertador bernardo o'higgins,2025-04-22 13:00:00,
f72d28e9-4a27-4845-94d7-69b1066f15a8,chit_chat,santiago,jose miguel de la barra,2025-04-27 21:48:10,
16930b64-0095-4644-8483-1401f112b65b,hazard,santiago,av. libertador bernardo o'higgins,2025-04-22 13:00:00,
9cea8ca6-899e-4f15-ac09-dcfc185c0405,road_closed,padre hurtado,av. santa leonor,2024-11-14 19:06:39,
35d6849e-fb2e-4879-9682-da3c415248bb,police,la cisterna,briones luco,2025-04-27 21:34:48,
d7a88b0d-0a57-47ab-87aa-2c0f34d11d6a,road_closed,"malloco, peñaflor",los olmos,2025-04-16 04:10:29,
bc7bed42-b63d-408f-88f3-524289bf8d35,road_closed,conchali,av. independencia,2024-06-06 13:26:54,
d7f5cd35-e96b-443a-a76a-465e62903f75,hazard,peñalolen,los cerezos,2025-04-27 21:31:21,
8edf0b7a-a466-408e-87db-492afff8c219,hazard,santiago,av. libertador bernardo o'higgins,2025-04-22 13:00:00,
3ddfb5a1-31d8-4350-ac91-e0b1a9d316ad,road_closed,pudahuel,puerto madero,2025-04-17 15:40:36,
2c869d68-5f66-4a2d-869e-5c9fdf38b19d,road_closed,"malloco, peñaflor",los aromos,2025-04-15 17:44:42,
48f59922-d585-44e6-9af4-5fdcc4c838d0,police,santiago,jose victorino lastarria,2025-04-27 20:51:17,
